epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,248.088,0.36677,0.35516,0.66492,0.78966,0.7042,0.76163,0.55858,0.67597,0.72792,0.78629,0.0010425,0.0010425,0.0010425
139,250.06,0.37889,0.36032,0.66801,0.7286,0.74417,0.73974,0.55609,0.64411,0.77496,0.77276,0.00103968,0.00103968,0.00103968
140,251.903,0.40081,0.38997,0.6717,0.69072,0.74756,0.74703,0.53994,0.66049,0.79948,0.75885,0.00103686,0.00103686,0.00103686
141,253.387,0.37312,0.35763,0.66008,0.60264,0.84446,0.7611,0.57811,0.62254,0.77372,0.75005,0.00103404,0.00103404,0.00103404
142,255.276,0.3569,0.33941,0.64975,0.74294,0.67521,0.7703,0.57186,0.66912,0.72057,0.76419,0.00103122,0.00103122,0.00103122
143,256.863,0.36724,0.34074,0.65595,0.72764,0.68912,0.7502,0.56531,0.64645,0.73669,0.75373,0.0010284,0.0010284,0.0010284
144,258.562,0.36544,0.35845,0.65531,0.76502,0.6671,0.71803,0.53797,0.64298,0.80311,0.75681,0.00102557,0.00102557,0.00102557
145,260.464,0.36211,0.36015,0.65814,0.74122,0.64379,0.69743,0.51737,0.64986,0.80476,0.77095,0.00102275,0.00102275,0.00102275
146,262.455,0.37939,0.38013,0.66068,0.64654,0.71671,0.70929,0.5343,0.64962,0.82468,0.76708,0.00101993,0.00101993,0.00101993
147,264.576,0.37407,0.3718,0.66235,0.64845,0.71633,0.70953,0.52189,0.63402,0.8097,0.75606,0.00101711,0.00101711,0.00101711
148,266.616,0.36553,0.36312,0.66156,0.63317,0.73862,0.71098,0.52935,0.62892,0.82358,0.74389,0.00101429,0.00101429,0.00101429
149,268.421,0.37202,0.36518,0.66197,0.68694,0.64857,0.71628,0.53457,0.64762,0.84033,0.75878,0.00101147,0.00101147,0.00101147
150,269.937,0.37747,0.35435,0.66809,0.7112,0.66748,0.71227,0.54888,0.61708,0.87557,0.74177,0.00100865,0.00100865,0.00100865
151,271.875,0.35956,0.3587,0.65822,0.67041,0.72787,0.69999,0.54872,0.6134,0.87013,0.74016,0.00100583,0.00100583,0.00100583
152,273.363,0.35987,0.36897,0.65259,0.76189,0.68992,0.70152,0.55374,0.58725,0.79384,0.73868,0.001003,0.001003,0.001003
153,275.22,0.36012,0.34471,0.66034,0.72688,0.76909,0.72886,0.56023,0.62615,0.74967,0.75271,0.00100018,0.00100018,0.00100018
154,277.148,0.34692,0.33636,0.64719,0.70981,0.75059,0.70125,0.54131,0.63874,0.78909,0.75234,0.000997362,0.000997362,0.000997362
155,279.289,0.34837,0.34094,0.65284,0.70025,0.67839,0.68914,0.53554,0.61817,0.83203,0.73849,0.000994541,0.000994541,0.000994541
156,281.09,0.34538,0.32645,0.64721,0.65953,0.67154,0.67525,0.51832,0.62077,0.88046,0.72755,0.00099172,0.00099172,0.00099172
157,282.802,0.3483,0.34434,0.6468,0.66283,0.65144,0.67144,0.49786,0.66496,0.91834,0.75679,0.000988899,0.000988899,0.000988899
158,284.884,0.34509,0.32706,0.64501,0.66411,0.70391,0.71182,0.51099,0.68042,0.8212,0.7644,0.000986078,0.000986078,0.000986078
159,286.944,0.3575,0.34592,0.64898,0.71567,0.71394,0.75818,0.56712,0.63969,0.76284,0.75544,0.000983257,0.000983257,0.000983257
160,289.029,0.34041,0.33841,0.64438,0.76072,0.67913,0.73681,0.54975,0.66271,0.80036,0.7808,0.000980435,0.000980435,0.000980435
161,291.038,0.3692,0.36782,0.67608,0.74996,0.68553,0.7411,0.56271,0.64177,0.75622,0.77162,0.000977614,0.000977614,0.000977614
162,293.086,0.36098,0.36163,0.65433,0.70376,0.66387,0.72709,0.55262,0.62792,0.79767,0.76831,0.000974793,0.000974793,0.000974793
163,295.06,0.37738,0.37698,0.67833,0.70406,0.74078,0.74954,0.57384,0.62826,0.71857,0.76661,0.000971972,0.000971972,0.000971972
164,297.076,0.35559,0.3339,0.65719,0.75062,0.6942,0.74483,0.56058,0.62862,0.72034,0.77445,0.000969151,0.000969151,0.000969151
165,299.138,0.38002,0.3646,0.67063,0.74553,0.67152,0.72004,0.54451,0.64314,0.73484,0.77309,0.00096633,0.00096633,0.00096633
166,300.796,0.35711,0.34337,0.65628,0.75718,0.72686,0.71099,0.5428,0.6255,0.78854,0.76062,0.000963509,0.000963509,0.000963509
167,302.321,0.34429,0.32724,0.64826,0.72123,0.72069,0.73179,0.55725,0.63176,0.76887,0.74905,0.000960687,0.000960687,0.000960687
